Features selected 1, accuracy 0.202400
Features selected 2, accuracy 0.323800
Features selected 3, accuracy 0.402900
Features selected 4, accuracy 0.442400
Features selected 5, accuracy 0.489400
Features selected 6, accuracy 0.509500
Features selected 7, accuracy 0.551600
Features selected 8, accuracy 0.574400
Features selected 9, accuracy 0.594600
Features selected 10, accuracy 0.638700
Features selected 11, accuracy 0.646300
Features selected 12, accuracy 0.668700
Features selected 13, accuracy 0.683300
Features selected 14, accuracy 0.682200
Features selected 15, accuracy 0.703100
Features selected 16, accuracy 0.711100
Features selected 17, accuracy 0.714800
Features selected 18, accuracy 0.722200
Features selected 19, accuracy 0.731700
Features selected 20, accuracy 0.733200
Features selected 21, accuracy 0.742900
Features selected 22, accuracy 0.742600
Features selected 23, accuracy 0.750100
Features selected 24, accuracy 0.755600
Features selected 25, accuracy 0.758000
Features selected 26, accuracy 0.760500
Features selected 27, accuracy 0.764300
Features selected 28, accuracy 0.769900
Features selected 29, accuracy 0.776100
Features selected 30, accuracy 0.780600
Features selected 31, accuracy 0.780500
Features selected 32, accuracy 0.779600
Features selected 33, accuracy 0.785800
Features selected 34, accuracy 0.788500
Features selected 35, accuracy 0.788000
Features selected 36, accuracy 0.788100
Features selected 37, accuracy 0.791500
Features selected 38, accuracy 0.794900
Features selected 39, accuracy 0.797400
Features selected 40, accuracy 0.799000
Features selected 41, accuracy 0.802000
Features selected 42, accuracy 0.805400
Features selected 43, accuracy 0.806600
Features selected 44, accuracy 0.810900
Features selected 45, accuracy 0.812800
Features selected 46, accuracy 0.812000
Features selected 47, accuracy 0.812100
Features selected 48, accuracy 0.815000
Features selected 49, accuracy 0.818600
Features selected 50, accuracy 0.822100
Selected features [350, 461, 542, 409, 401, 596, 376, 298, 151, 211, 386, 657, 267, 101, 290, 406, 220, 518, 427, 459, 301, 712, 573, 538, 583, 523, 320, 260, 352, 464, 70, 718, 154, 709, 715, 104, 277, 190, 343, 439, 214, 515, 512, 346, 296, 237, 651, 580, 549, 355]
