regparam 2**15, cindex 0.625615
regparam 2**16, cindex 0.626731
regparam 2**17, cindex 0.628061
regparam 2**18, cindex 0.629595
regparam 2**19, cindex 0.631256
regparam 2**20, cindex 0.633273
regparam 2**21, cindex 0.635672
regparam 2**22, cindex 0.638943
regparam 2**23, cindex 0.643901
regparam 2**24, cindex 0.651453
regparam 2**25, cindex 0.661095
regparam 2**26, cindex 0.670401
regparam 2**27, cindex 0.677799
regparam 2**28, cindex 0.685400
regparam 2**29, cindex 0.693695
regparam 2**30, cindex 0.702920
regparam 2**31, cindex 0.711303
regparam 2**32, cindex 0.715542
regparam 2**33, cindex 0.713162
regparam 2**34, cindex 0.704249
