regparam 2**-15, cindex 0.662881
regparam 2**-14, cindex 0.666403
regparam 2**-13, cindex 0.671209
regparam 2**-12, cindex 0.676618
regparam 2**-11, cindex 0.681968
regparam 2**-10, cindex 0.686441
regparam 2**-9, cindex 0.689490
regparam 2**-8, cindex 0.691613
regparam 2**-7, cindex 0.692766
regparam 2**-6, cindex 0.693553
regparam 2**-5, cindex 0.694228
regparam 2**-4, cindex 0.694618
regparam 2**-3, cindex 0.694185
regparam 2**-2, cindex 0.691003
regparam 2**-1, cindex 0.685383
regparam 2**0, cindex 0.678878
regparam 2**1, cindex 0.672296
regparam 2**2, cindex 0.667021
regparam 2**3, cindex 0.662587
regparam 2**4, cindex 0.658293
regparam 2**5, cindex 0.651545
regparam 2**6, cindex 0.635918
regparam 2**7, cindex 0.612166
regparam 2**8, cindex 0.595702
regparam 2**9, cindex 0.584963
regparam 2**10, cindex 0.578102
regparam 2**11, cindex 0.574253
regparam 2**12, cindex 0.572231
regparam 2**13, cindex 0.570501
regparam 2**14, cindex 0.570017
