regparam 2**-8 2**20, cindex 0.856107
regparam 2**-8 2**21, cindex 0.870316
regparam 2**-8 2**22, cindex 0.879996
regparam 2**-8 2**23, cindex 0.884644
regparam 2**-8 2**24, cindex 0.884816
regparam 2**-7 2**20, cindex 0.845540
regparam 2**-7 2**21, cindex 0.861627
regparam 2**-7 2**22, cindex 0.873693
regparam 2**-7 2**23, cindex 0.880633
regparam 2**-7 2**24, cindex 0.882209
regparam 2**-6 2**20, cindex 0.834259
regparam 2**-6 2**21, cindex 0.850631
regparam 2**-6 2**22, cindex 0.864345
regparam 2**-6 2**23, cindex 0.873417
regparam 2**-6 2**24, cindex 0.876857
regparam 2**-5 2**20, cindex 0.822796
regparam 2**-5 2**21, cindex 0.838143
regparam 2**-5 2**22, cindex 0.852142
regparam 2**-5 2**23, cindex 0.862541
regparam 2**-5 2**24, cindex 0.867615
