regparam 2**-8 2**20, cindex 0.847951
regparam 2**-8 2**21, cindex 0.861524
regparam 2**-8 2**22, cindex 0.870746
regparam 2**-8 2**23, cindex 0.875478
regparam 2**-8 2**24, cindex 0.875747
regparam 2**-7 2**20, cindex 0.836888
regparam 2**-7 2**21, cindex 0.852547
regparam 2**-7 2**22, cindex 0.864314
regparam 2**-7 2**23, cindex 0.871177
regparam 2**-7 2**24, cindex 0.872904
regparam 2**-6 2**20, cindex 0.825043
regparam 2**-6 2**21, cindex 0.841144
regparam 2**-6 2**22, cindex 0.854672
regparam 2**-6 2**23, cindex 0.863623
regparam 2**-6 2**24, cindex 0.867058
regparam 2**-5 2**20, cindex 0.813032
regparam 2**-5 2**21, cindex 0.828317
regparam 2**-5 2**22, cindex 0.842215
regparam 2**-5 2**23, cindex 0.852473
regparam 2**-5 2**24, cindex 0.857356
