regparam 2**15, cindex 0.634574
regparam 2**16, cindex 0.636537
regparam 2**17, cindex 0.638615
regparam 2**18, cindex 0.640694
regparam 2**19, cindex 0.642753
regparam 2**20, cindex 0.645055
regparam 2**21, cindex 0.647613
regparam 2**22, cindex 0.651125
regparam 2**23, cindex 0.656184
regparam 2**24, cindex 0.664188
regparam 2**25, cindex 0.675073
regparam 2**26, cindex 0.687634
regparam 2**27, cindex 0.698616
regparam 2**28, cindex 0.705187
regparam 2**29, cindex 0.706739
regparam 2**30, cindex 0.703565
regparam 2**31, cindex 0.695732
regparam 2**32, cindex 0.684283
regparam 2**33, cindex 0.669379
regparam 2**34, cindex 0.650684
