regparam 2**-15, cindex 0.670456
regparam 2**-14, cindex 0.672850
regparam 2**-13, cindex 0.675465
regparam 2**-12, cindex 0.678416
regparam 2**-11, cindex 0.682169
regparam 2**-10, cindex 0.687347
regparam 2**-9, cindex 0.694786
regparam 2**-8, cindex 0.704963
regparam 2**-7, cindex 0.716517
regparam 2**-6, cindex 0.726005
regparam 2**-5, cindex 0.730376
regparam 2**-4, cindex 0.731909
regparam 2**-3, cindex 0.731300
regparam 2**-2, cindex 0.728323
regparam 2**-1, cindex 0.721764
regparam 2**0, cindex 0.711839
regparam 2**1, cindex 0.699880
regparam 2**2, cindex 0.686479
regparam 2**3, cindex 0.675239
regparam 2**4, cindex 0.665178
regparam 2**5, cindex 0.655380
regparam 2**6, cindex 0.643729
regparam 2**7, cindex 0.624019
regparam 2**8, cindex 0.603816
regparam 2**9, cindex 0.591069
regparam 2**10, cindex 0.582183
regparam 2**11, cindex 0.575942
regparam 2**12, cindex 0.572797
regparam 2**13, cindex 0.571226
regparam 2**14, cindex 0.570464
