regparam 2**-8 2**20, cindex 0.616013
regparam 2**-8 2**21, cindex 0.616351
regparam 2**-8 2**22, cindex 0.616159
regparam 2**-8 2**23, cindex 0.615353
regparam 2**-8 2**24, cindex 0.613915
regparam 2**-7 2**20, cindex 0.623229
regparam 2**-7 2**21, cindex 0.623588
regparam 2**-7 2**22, cindex 0.623376
regparam 2**-7 2**23, cindex 0.622538
regparam 2**-7 2**24, cindex 0.621015
regparam 2**-6 2**20, cindex 0.630899
regparam 2**-6 2**21, cindex 0.631235
regparam 2**-6 2**22, cindex 0.630945
regparam 2**-6 2**23, cindex 0.630001
regparam 2**-6 2**24, cindex 0.628318
regparam 2**-5 2**20, cindex 0.639214
regparam 2**-5 2**21, cindex 0.639544
regparam 2**-5 2**22, cindex 0.639167
regparam 2**-5 2**23, cindex 0.638089
regparam 2**-5 2**24, cindex 0.636178
